url_length,hostname_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,ampersand_count,percent_count,digit_count,letter_count,has_https,has_ip,subdomain_count,suspicious_word_count,is_shortened,label
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
23,4,11,0,1,0,0,3,0,0,0,0,0,0,18,1,0,0,0,1,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
29,20,1,0,2,1,0,3,0,0,0,0,0,0,22,1,0,1,0,0,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,11,1,0,0,0,0,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,1,0
21,13,0,0,2,0,0,2,0,0,0,0,0,0,16,1,0,1,0,0,0
73,19,46,0,4,1,0,4,0,0,0,0,0,5,58,1,0,0,0,0,1
21,7,6,0,1,0,0,3,0,0,0,0,0,2,14,1,0,0,0,0,1
32,23,1,0,2,0,0,3,0,0,0,0,0,2,24,1,0,1,0,0,1
23,15,0,0,1,0,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0
24,15,1,0,1,1,0,3,0,0,0,0,0,0,18,1,0,0,0,0,1
26,18,0,0,1,0,0,2,0,0,0,0,0,0,22,1,0,0,0,0,0
30,21,1,0,2,0,0,3,0,0,0,0,0,0,24,1,0,1,0,0,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0
33,24,1,0,2,0,0,3,0,0,0,0,0,0,27,1,0,1,0,0,1
73,30,35,0,7,1,0,6,0,0,0,0,0,5,53,1,0,1,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
71,63,0,0,2,0,0,2,0,0,0,0,0,8,58,1,0,1,0,0,1
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
29,21,1,0,1,0,0,3,0,0,0,0,0,0,24,0,0,0,0,0,1
